SubjNo,Gender,Age,Lang,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
1,M,59,English,1B,1,Chicken,1,Unambiguous,Different Label,N,1,It's pretty
1,M,59,English,1B,5,Glass,2,Unambiguous,Same Label,Y,0,it's shiny
1,M,59,English,1B,9,Horse,3,Unambiguous,Different Label,Y,0,so it can go fast
1,M,59,English,1B,2,Chicken,4,Unambiguous,Same Label,N,1,so it can have fresh air
1,M,59,English,1B,6,Glass,5,Unambiguous,Different Label,N,1,because Mars is bigger
1,M,59,English,1B,10,Horse,6,Unambiguous,Same Label,N,1,because it wags its tail when it's happy
1,M,59,English,1B,3,Chicken,7,Unambiguous,Different Label,N,1,so it can have fresh air
1,M,59,English,1B,7,Glass,8,Unambiguous,Same Label,Y,0,to keep the glass safe
1,M,59,English,1B,11,Horse,9,Unambiguous,Different Label,N,1,to keep the zebra comfy
1,M,59,English,1B,4,Chicken,10,Unambiguous,Same Label,N,1,so it can run around outside
1,M,59,English,1B,8,Glass,11,Unambiguous,Different Label,Y,0,to keep the glass safe
1,M,59,English,1B,12,Horse,12,Unambiguous,Same Label,N,1,it nearly has the same fur
2,M,53,English,1A,1,Chicken,1,Polysemous,Same Label,N,0,
2,M,53,English,1A,5,Glass,2,Polysemous,Different Label,Y,1,
2,M,53,English,1A,9,Horse,3,Polysemous,Same Label,N,0,
2,M,53,English,1A,2,Chicken,4,Polysemous,Different Label,Y,1,
2,M,53,English,1A,6,Glass,5,Polysemous,Same Label,N,0,
2,M,53,English,1A,10,Horse,6,Polysemous,Different Label,Y,1,
2,M,53,English,1A,3,Chicken,7,Polysemous,Same Label,N,0,
2,M,53,English,1A,8,Glass,8,Polysemous,Same Label,N,0,
2,M,53,English,1A,11,Horse,9,Polysemous,Same Label,Y,1,
2,M,53,English,1A,4,Chicken,10,Polysemous,Different Label,Y,1,
2,M,53,English,1A,7,Glass,11,Polysemous,Different Label,Y,1,
2,M,53,English,1A,12,Horse,12,Polysemous,Different Label,N,0,
3,M,48,"English, German",1A backwards,12,Horse,1,Polysemous,Different Label,N,0,pointed
3,M,48,"English, German",1A backwards,8,Glass,2,Polysemous,Same Label,Y,1,
3,M,48,"English, German",1A backwards,4,Chicken,3,Polysemous,Different Label,N,0,it's got feathers (??)
3,M,48,"English, German",1A backwards,11,Horse,4,Polysemous,Same Label,Y,1,idk
3,M,48,"English, German",1A backwards,7,Glass,5,Polysemous,Different Label,Y,1,
3,M,48,"English, German",1A backwards,3,Chicken,6,Polysemous,Same Label,Y,1,because it's a chicken (?)
3,M,48,"English, German",1A backwards,10,Horse,7,Polysemous,Different Label,Y,1,idk
3,M,48,"English, German",1A backwards,6,Glass,8,Polysemous,Same Label,Y,1,
3,M,48,"English, German",1A backwards,2,Chicken,9,Polysemous,Different Label,Y,1,
3,M,48,"English, German",1A backwards,9,Horse,10,Polysemous,Same Label,Y,1,
3,M,48,"English, German",1A backwards,5,Glass,11,Polysemous,Different Label,Y,1,
3,M,48,"English, German",1A backwards,1,Chicken,12,Polysemous,Same Label,Y,1,idk
4,M,48,English,1B Backwards,12,Horse,1,Unambiguous,Different Label,Y,0,b/c it has fur
4,M,48,English,1B Backwards,8,Glass,2,Unambiguous,Same Label,N,1,to make different things
4,M,48,English,1B Backwards,4,Chicken,3,Unambiguous,Different Label,N,1,it needs a drink
4,M,48,English,1B Backwards,11,Horse,4,Unambiguous,Same Label,N,1,it looks like a zebra
4,M,48,English,1B Backwards,7,Glass,5,Unambiguous,Different Label,Y,0,b/c they are tall (?)
4,M,48,English,1B Backwards,3,Chicken,6,Unambiguous,Same Label,N,1,
4,M,48,English,1B Backwards,10,Horse,7,Unambiguous,Different Label,N,1,
4,M,48,English,1B Backwards,6,Glass,8,Unambiguous,Same Label,Y,0,
4,M,48,English,1B Backwards,2,Chicken,9,Unambiguous,Different Label,N,1,
4,M,48,English,1B Backwards,9,Horse,10,Unambiguous,Same Label,N,1,
4,M,48,English,1B Backwards,5,Glass,11,Unambiguous,Different Label,N,1,
4,M,48,English,1B Backwards,1,Chicken,12,Unambiguous,Same Label,N,1,it lives there
5,M,56,English,1B Backwards,9,Horse,1,Polysemous,Different Label,Y,1,
5,M,56,English,1B Backwards,5,Glass,2,Polysemous,Same Label,Y,1,it's sharp
5,M,56,English,1B Backwards,1,Chicken,3,Polysemous,Different Label,Y,1,can't sell because they are not a person
5,M,56,English,1B Backwards,10,Horse,4,Polysemous,Same Label,Y,1,doesn't have a tail (OOPS)
5,M,56,English,1B Backwards,6,Glass,5,Polysemous,Different Label,N,0,it's glass
5,M,56,English,1B Backwards,2,Chicken,6,Polysemous,Same Label,Y,1,it can't stay inside
5,M,56,English,1B Backwards,11,Horse,7,Polysemous,Different Label,Y,1,
5,M,56,English,1B Backwards,7,Glass,8,Polysemous,Same Label,Y,1,just because
5,M,56,English,1B Backwards,3,Chicken,9,Polysemous,Different Label,Y,1,
5,M,56,English,1B Backwards,12,Horse,10,Polysemous,Same Label,Y,1,b/c it does
5,M,56,English,1B Backwards,8,Glass,11,Polysemous,Different Label,Y,1,
5,M,56,English,1B Backwards,4,Chicken,12,Polysemous,Same Label,Y,1,it has to be cold
6,F,48,English,1B,1,Chicken,1,Polysemous,Different Label,Y,1,
6,F,48,English,1B,5,Glass,2,Polysemous,Same Label,Y,1,
6,F,48,English,1B,9,Horse,3,Polysemous,Different Label,N,0,
6,F,48,English,1B,2,Chicken,4,Polysemous,Same Label,Y,1,
6,F,48,English,1B,6,Glass,5,Polysemous,Different Label,N,0,idk
6,F,48,English,1B,10,Horse,6,Polysemous,Same Label,Y,1,
6,F,48,English,1B,3,Chicken,7,Polysemous,Different Label,Y,1,
6,F,48,English,1B,7,Glass,8,Polysemous,Same Label,N,0,it's glass
6,F,48,English,1B,11,Horse,9,Polysemous,Different Label,N,0,[pointed- not sure?]
6,F,48,English,1B,4,Chicken,10,Polysemous,Same Label,N,0,it likes to be warm
6,F,48,English,1B,8,Glass,11,Polysemous,Different Label,Y,1,
6,F,48,English,1B,12,Horse,12,Polysemous,Same Label,N,0,doesn't have a coat
7,M,53,English,1B Backwards,12,Horse,1,Unambiguous,Different Label,N,1,didn't speak- pointed
7,M,53,English,1B Backwards,8,Glass,2,Unambiguous,Same Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,4,Chicken,3,Unambiguous,Different Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,11,Horse,4,Unambiguous,Same Label,N,1,didn't speak- pointed
7,M,53,English,1B Backwards,7,Glass,5,Unambiguous,Different Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,3,Chicken,6,Unambiguous,Same Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,10,Horse,7,Unambiguous,Different Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,6,Glass,8,Unambiguous,Same Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,2,Chicken,9,Unambiguous,Different Label,N,1,didn't speak- pointed
7,M,53,English,1B Backwards,9,Horse,10,Unambiguous,Same Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,5,Glass,11,Unambiguous,Different Label,Y,0,didn't speak- pointed
7,M,53,English,1B Backwards,1,Chicken,12,Unambiguous,Same Label,N,1,didn't speak- pointed
8,M,48,English,1A,1,Chicken,1,Unambiguous,Same Label,Y,0,they might want a pet
8,M,48,English,1A,6,Glass,2,Unambiguous,Same Label,Y,0,b/c it's glass
8,M,48,English,1A,10,Horse,3,Unambiguous,Different Label,Y,0,it's a horse
8,M,48,English,1A,2,Chicken,4,Unambiguous,Different Label,Y,0,it might fly away
8,M,48,English,1A,5,Glass,5,Unambiguous,Different Label,Y,0,people might want to use it
8,M,48,English,1A,9,Horse,6,Unambiguous,Same Label,Y,0,baby horse belongs to the owner
8,M,48,English,1A,3,Chicken,7,Unambiguous,Same Label,Y,0,
8,M,48,English,1A,8,Glass,8,Unambiguous,Same Label,Y,0,you might fall out without glass
8,M,48,English,1A,11,Horse,9,Unambiguous,Same Label,Y,0,
8,M,48,English,1A,4,Chicken,10,Unambiguous,Different Label,Y,0,
8,M,48,English,1A,7,Glass,11,Unambiguous,Different Label,N,1,you might not want to use it anymore (?)
8,M,48,English,1A,12,Horse,12,Unambiguous,Different Label,Y,0,it has fur
9,F,46,English,1A backwards,12,Horse,1,Unambiguous,Different Label,N,1,gets wet
9,F,46,English,1A backwards,8,Glass,2,Unambiguous,Same Label,N,1,
9,F,46,English,1A backwards,4,Chicken,3,Unambiguous,Different Label,Y,0,gets cold
9,F,46,English,1A backwards,11,Horse,4,Unambiguous,Same Label,N,1,gets fun (??)
9,F,46,English,1A backwards,7,Glass,5,Unambiguous,Different Label,N,1,it's warm (?)
9,F,46,English,1A backwards,3,Chicken,6,Unambiguous,Same Label,N,1,it gets cold
9,F,46,English,1A backwards,10,Horse,7,Unambiguous,Different Label,Y,0,
9,F,46,English,1A backwards,6,Glass,8,Unambiguous,Same Label,N,1,[pointed]
9,F,46,English,1A backwards,2,Chicken,9,Unambiguous,Different Label,N,1,
9,F,46,English,1A backwards,9,Horse,10,Unambiguous,Same Label,Y,0,
9,F,46,English,1A backwards,5,Glass,11,Unambiguous,Different Label,N,1,
9,F,46,English,1A backwards,1,Chicken,12,Unambiguous,Same Label,Y,0,they like to
10,M,41,English,1B,1,Chicken,1,Unambiguous,Different Label,N,1,
10,M,41,English,1B,5,Glass,2,Unambiguous,Same Label,Y,0,
10,M,41,English,1B,9,Horse,3,Unambiguous,Different Label,N,1,
10,M,41,English,1B,2,Chicken,4,Unambiguous,Same Label,N,1,
10,M,41,English,1B,6,Glass,5,Unambiguous,Different Label,Y,0,
10,M,41,English,1B,10,Horse,6,Unambiguous,Same Label,N,1,
10,M,41,English,1B,3,Chicken,7,Unambiguous,Different Label,Y,0,
10,M,41,English,1B,7,Glass,8,Unambiguous,Same Label,Y,0,
10,M,41,English,1B,11,Horse,9,Unambiguous,Different Label,N,1,
10,M,41,English,1B,4,Chicken,10,Unambiguous,Same Label,Y,0,
10,M,41,English,1B,8,Glass,11,Unambiguous,Different Label,N,1,
10,M,41,English,1B,12,Horse,12,Unambiguous,Same Label,Y,0,
11,F,43,English,1A,1,Chicken,1,Polysemous,Same Label,Y,1,shy- didn't say much. Spoke softly
